bw_avg,blacklisted_PRBs,total_PRBs,max_IO,max_IO_par,min_IO,min_IO_par,avg_IO,PRACH_IO,current_QM_DL,current_RI_DL,total_bytes_TX,ulsch_power,ulsch_noise_power,sync_pos,round_trials_0,round_trials_0_par,round_trials_1,round_trials_1_par,round_trials_2,round_trials_2_par,round_trials_3,DTX,current_QM_UL,current_RI_UL,total_bytes_RX,total_bytes_scheduled,PH,PCMAX,RSRP,meas,UL_RI,TPMI,dlsch_rounds_0,dlsch_rounds_1,dlsch_rounds_2,dlsch_rounds_3,dlsch_errors,pucch0_DTX,BLER_DL,MCS_DL,dlsch_total_bytes,ulsch_rounds_0,ulsch_rounds_1,ulsch_rounds_2,ulsch_rounds_3,ulsch_DTX,ulsch_errors,BLER_UL,MCS_UL,ulsch_total_bytes_scheduled,ulsch_total_bytes_received,rtt
0.7947780394548979,0,106,21,9,0,53,13,6.0,6,1,-1456887152,47.4,10.8,1,188905,0.0092,1743,4.8e-05,9,2.6e-05,5,8,6,1,0,198026,0,0,-98,6,1,0,443584,34024,135,56,9,6,0.09487,23,2635434967,189108,1745,9,5,8,3,0.0159,28,19346558,19345940,22.95257306572704
0.7691348621274038,0,106,22,54,0,53,14,4.8,6,1,-1450901765,47.3,10.8,-1,189304,0.0092,1745,4.8e-05,9,2.6e-05,5,8,6,1,0,198612,0,0,-98,2,1,0,444408,34168,135,56,9,6,0.138,22,2640133193,189509,1746,9,5,8,3,0.00554,28,19384270,19383652,23.29098039215686
0.8373631162835262,0,106,22,54,0,53,14,5.9,6,1,-1445496730,47.4,9.5,1,189719,0.0092,1748,4.7e-05,9,2.6e-05,5,8,6,1,0,198930,0,0,-98,15,1,0,445329,34198,135,56,9,6,0.0654,22,2645227231,189928,1750,9,5,8,3,0.00792,28,19424923,19424305,23.290980392156865
0.6342028156207209,0,106,22,54,0,53,14,7.0,6,1,-1439828405,48.9,18.3,-1,190138,0.0092,1755,4.7e-05,9,2.6e-05,5,8,6,1,0,199672,0,0,-98,11,1,0,446241,34319,135,56,9,6,0.13304,23,2650559111,190341,1755,9,5,8,3,0.01001,28,19465672,19465160,23.290980392156865
0.6788123617571675,0,106,21,9,0,53,13,5.7,6,1,-1433942503,48.9,16.4,-1,190552,0.0092,1756,4.7e-05,9,2.6e-05,5,8,6,1,0,199778,0,0,-98,8,1,0,447257,34368,135,56,9,6,0.08115,22,2656555729,190771,1757,9,5,8,3,0.00714,28,19510108,19509369,23.29098039215686
0.8280472408653973,0,106,22,54,0,53,14,5.5,6,1,-1426650668,48.9,17.9,0,190995,0.0092,1758,4.7e-05,9,2.6e-05,5,8,6,1,0,199990,0,0,-98,4,1,0,448403,34418,135,56,9,6,0.05486,22,2663819898,191210,1762,9,5,8,3,0.01234,28,19557364,19556746,23.26331161721386
0.5972256660055849,0,106,22,54,0,53,13,5.5,6,1,-1419102097,48.8,17.9,-1,191424,0.0092,1766,4.7e-05,9,2.6e-05,5,8,6,1,0,200877,0,0,-98,1,1,0,449447,34513,135,56,9,6,0.10261,23,2670271872,191625,1767,9,5,8,3,0.01213,28,19602299,19601787,22.604249587907017
0.7078127359671661,0,106,21,54,0,53,13,4.8,4,1,-1409090871,48.9,10.4,-1,192533,0.0092,1769,4.7e-05,9,2.6e-05,5,8,6,1,0,201195,0,0,-98,6,1,0,450665,34613,135,56,9,6,0.01251,10,2676663487,192692,1769,9,5,8,3,0.00104,28,19703639,19703127,23.290980392156865
0.8048692857855705,0,106,21,9,0,53,14,7.2,4,1,-1407155208,48.9,18.3,-1,192924,0.0092,1773,4.7e-05,9,2.6e-05,5,8,6,1,0,201619,0,0,-98,3,1,0,451877,34613,135,56,9,6,0.00436,20,2681157240,193146,1776,9,5,8,3,0.00902,28,19751932,19751193,23.29098039215686
0.8369677202869338,0,106,20,12,0,53,13,5.8,6,1,-1400374108,48.8,16.5,-1,193355,0.0092,1777,4.7e-05,9,2.6e-05,5,8,6,1,0,202043,0,0,-98,15,1,0,452893,34809,135,56,9,6,0.17328,19,2687487637,193567,1777,9,5,8,3,0.00528,28,19795796,19795178,26.028661149861748
0.6776747915874424,0,106,22,54,0,53,14,5.5,6,1,-1393868757,48.8,17.4,-1,193795,0.0092,1780,4.6e-05,9,2.6e-05,5,8,6,1,0,202361,0,0,-98,12,1,0,454106,34809,135,56,9,6,0.06042,18,2693037639,194012,1786,9,5,8,3,0.01375,28,19845005,19844387,23.29098039215686
0.7866224478778402,0,106,22,54,0,53,14,5.7,6,1,-1387909390,48.9,17.8,-1,194229,0.0092,1792,4.6e-05,9,2.6e-05,5,8,6,1,0,203633,0,0,-98,8,1,0,455110,34900,135,56,9,6,0.1165,23,2698540497,194427,1792,9,5,8,3,0.014,28,19888964,19888452,23.29098039215686
0.9627482010374839,0,106,21,9,0,53,13,6.5,6,1,-1381826897,48.9,16.4,1,194637,0.0092,1793,4.6e-05,9,2.6e-05,5,8,6,1,0,203739,0,0,-98,5,1,0,456116,34992,135,56,9,6,0.09409,22,2704448249,194852,1795,9,5,8,3,0.01047,28,19931191,19930679,25.771081546504504
0.820014304880851,0,106,21,9,0,53,13,6.3,6,1,-1374739928,48.9,17.2,1,195066,0.0092,1797,4.6e-05,9,2.6e-05,5,8,6,1,0,204202,0,0,-98,1,1,0,457258,35047,135,56,9,6,0.06233,22,2711691980,195280,1799,9,5,8,3,0.01006,28,19977509,19976891,23.290980392156865
0.7358482876985849,0,106,21,9,0,53,13,5.6,6,1,-1367156726,49.0,16.7,1,195497,0.0092,1803,4.6e-05,9,2.6e-05,5,8,6,1,0,204838,0,0,-98,14,1,0,458334,35158,135,56,9,6,0.11438,23,2718522005,195700,1805,9,5,8,3,0.01289,28,20021721,20021209,23.29098039215686
0.7007663896907593,0,106,22,54,0,53,13,5.2,6,1,-1361368992,48.9,16.1,-1,195897,0.0092,1805,4.6e-05,9,2.6e-05,5,8,6,1,0,205050,0,0,-98,10,1,0,459145,35248,135,56,9,6,0.11318,22,2722889318,196105,1808,9,5,8,3,0.01114,28,20060687,20060069,23.29098039215686
